本文,Level,尊敬語,謙譲語,丁寧語,フィールド
こちらの新製品、随分、工夫された事と存じます。,1,0,1,0,アイデア
曇らないフロントガラスを、御考案されたそうですね。,1,1,0,0,アイデア
社長が、ナノ・ウォーターを御考案なさったのでしょうか？,1,1,0,0,アイデア
宇宙戦争が舞台とは、何とも壮大な御構想でございますね。,1,1,0,0,アイデア
映画での町興しを御構想なさったのは、先生でございますね。,1,1,0,0,アイデア
それは素晴らしい御着眼でございますね。,1,1,0,0,アイデア
人の気が付かないところに御着眼なさるのは、素晴らしいと存じます。,1,1,0,0,アイデア
この一局は、勝負所の御着想が素晴らしいと存じます。,1,0,1,0,アイデア
そんな斬新な御着想なさるのは、貴殿しかいらっしゃいません。,1,1,0,0,アイデア
貴殿はいつも素晴らしい御発想をお持ちで、感銘致します。,1,0,1,0,アイデア
土に溶ける新物質を御発明されたと存じます。,1,0,1,0,アイデア
近々、またお目にかからせて頂きます。,1,0,1,0,会う
宜しければ、本日中にお目にかからせて頂けませんでしょうか？,1,0,1,0,会う
次にお目にかかる日を楽しみにしております。,1,0,1,0,会う
またいつでも、お目にかかれます。,1,0,1,0,会う
御子息にお会いできる日が待ち遠しい事と存じます。,1,0,1,0,会う
あれ以来、長い事お目にかかっておりません。,1,0,1,0,会う
翌日、御挨拶に伺います。堅苦しい御挨拶は結構でございます。,1,1,0,0,会う
それでは、会長が一言、御挨拶申し上げます。,1,0,1,0,会う
先生に、御挨拶なさいましたか？,1,1,0,0,会う
あちら様が会釈なさってますが、お知り合いでございますか？,1,1,0,0,会う
今貴殿にお辞儀なさった方は、どなたでございますか？,1,1,0,0,会う
十年ぶりの御再会でございますか？,1,1,0,0,会う
三社祭りで偶然に御再会されたのでございますか？,1,1,0,0,会う
今回が初めての御対面でございますか？,1,1,0,0,会う
十年越しの宿敵と御対面なさった御感想は？,1,1,0,0,会う
お初にお目にかかります。,1,0,1,0,会う
初めてお目にかかります、西方と申します。,1,0,1,0,会う
お目にかかる事ができ光栄でございます。,1,0,1,0,会う
先生には、以前お目にかかった事がございます。,1,1,0,0,会う
いつも、御電話ばかりで大変恐縮です。,1,0,1,0,会う
御噂は、かねがね伺っておりました。,1,1,0,0,会う
申し遅れましたが、叔父の坂本と申します。,1,1,0,0,会う
御挨拶が後回しになりまして、大変恐縮です。,1,1,0,0,会う
御名刺を頂戴できますでしょうか？,1,1,0,0,会う
大変貴重な御名前でいらっしゃいますね、何とお読みすれば宜しいでしょうか？,1,1,0,0,会う
今後とも、宜しくお願い申し上げます。,1,1,0,0,会う
どうぞ、以後お見知り置きを、お願い申し上げます。,1,1,0,0,会う
今後ともお付き合いの程、宜しくお願い申し上げます。,1,1,0,0,会う
貴重な御縁を、宜しくお願い申し上げます。,1,1,0,0,会う
ようやく大使にお目通りが叶いました。,1,1,0,0,会う
実は、貴殿にお会いになって頂きたい方がおります。,1,1,0,0,会う
御二人が御会いになられるのは、お初でございますか？,1,1,0,0,会う
宜しければ私に婿様のお手伝いをさせて頂けませんでしょうか？,1,1,0,0,会う
貴殿の御仲介のおかげで、お目にかかる事ができました。,1,1,0,0,会う
いつぞやお話させて頂いた館長殿に、御引き合わせ存じます。,1,0,1,0,会う
どうぞ、お引き回し下さいませ。存分に、お引き回し下さいませ。,1,1,0,0,会う
お見合いも二十回目となると、退屈なさる事でしょう？,1,1,0,0,会う
よく写っていらっしゃいます、お見合い写真になさったらいかがでしょうか？,1,1,0,0,会う
私、先日御紹介いただいた西方と申し上げます。,1,1,0,0,会う
さようでございますか、そちらの道のエキスパートを御紹介致します。,1,0,1,0,会う
人を御紹介なさる時は、よくお考えになった方が宜しいかと存じます。,1,0,1,0,会う
大変光栄です、一度お目にかかりたいと思っておりました。,1,0,1,0,会う
近々、お目にかかりたいと存じます。（手紙文）,1,0,1,0,会う
奥方様に御目文字を賜りたく存じます。（手紙文）,1,1,1,0,会う
ぜひ一度、奥様の御尊顔を拝したいと存じます。（手紙文）,1,1,1,0,会う
まあ、ふくよかで可愛い赤ちゃんでいらっしゃいますね。,1,1,0,0,赤ちゃん
お食い初めに、お父様をお呼びになったらいかがでしょうか？,1,1,0,0,赤ちゃん
ご出産のお祝いに、おくるみをお贈りさせていただきます。,1,1,0,0,赤ちゃん
何事もなく、お七夜をお迎えすることができました。,1,1,0,0,赤ちゃん
赤ちゃんが、おしゃぶりを落とされたようですよ。,1,1,0,0,赤ちゃん
まあ、玉のような赤ちゃんでいらっしゃいますね。,1,1,0,0,赤ちゃん
三人もお産みになっておられるので、赤ちゃんのあやし方がお上手でいらっしゃいますね。,1,1,0,0,赤ちゃん
お産がお軽く済まれたようで、よろしかったですね。,1,1,0,0,赤ちゃん
娘様が、おめでたでいらっしゃるそうですね。,1,1,0,0,赤ちゃん
ご安産でいらしたそうで、よろしかったです。,1,1,0,0,赤ちゃん
ご出産おめでとうございます。初めてのお子様でいらしたそうですね。,1,1,0,0,赤ちゃん
ご予定日より、かなりお早くご出産なされたのですね？,1,1,0,0,赤ちゃん
奥様のお産にお立会いされて、いががでしたでしょうか？,1,1,0,0,赤ちゃん
もしかして、妊娠なさっておられるのではないでしょうか？,1,1,0,0,赤ちゃん
念願のお子様をお宿しになられたそうですね。,1,1,0,0,赤ちゃん
たまには羽目をはずされて、お遊びになられることも必要であると思われます。,1,1,0,0,赤ちゃん
社長様は応接室で、ご一局お囲みになられていらっしゃいます。,1,1,0,0,遊ぶ
旦那様は小猫とお戯れになられておられます。,1,1,0,0,遊ぶ
部長様、ご一局お手合わせいただけませんでしょうか？,1,0,1,0,遊ぶ
先輩、どうぞお手柔らかにお願い申し上げます。,1,1,0,0,遊ぶ
総長様のお道楽にも困っております。,1,1,0,0,遊ぶ
あなた様のお出番でございます。カードをおめくりになられていただけますでしょうか。,1,1,0,0,遊ぶ
先輩、ご一手ご指南、お願い申し上げます。,1,1,0,0,遊ぶ
ご一勝ご一敗、こちらでお相子にいたしましょう。,1,1,0,0,遊ぶ
私はお医者さんごっこなどは、致しませんでした。,1,0,1,0,遊ぶ
お馬様には、いつも遊ばれております。,1,1,0,0,遊ぶ
いいかげんに、お茶屋さんのお遊びをおやめになられたらいかがでしょうか。,1,1,0,0,遊ぶ
おばあさまは、お手玉がお上手でいらっしゃるのですよ。,1,1,0,0,遊ぶ
かるたでは、お手付きはだめでございますよ。,1,1,0,0,遊ぶ
姉たちのおはじきのじゃまを致しまして、よく怒られましたものでございます。,1,1,0,0,遊ぶ
まあ、シャツが絞れるほど汗をおかきになっておられます。,1,1,0,0,遊ぶ
ずいぶん、汗をおかきになられるのですね。ご体質でいらっしゃいますか？,1,1,0,0,季節
お暑うございます。一雨いただきたいですね。本日もお暑うございますね。,1,1,0,0,季節
お暑いですね。こちらでお涼みになられるとよいかと思います。,1,1,0,0,季節
先生は、お庭の東屋で涼まれるのがお好きでいらっしゃいました。,1,1,0,0,季節
お寒い夜は、湯たんぽでお温もりになられるのが一番でございます。,1,1,0,0,季節
本日は冷えますので、温泉でゆっくり温まれると良いと思われますよ。,1,1,0,0,季節
南極で越冬なされるのでしょうか、それは大変なお仕事でいらっしゃいますね。,1,1,0,0,季節
本日はお寒いので、カイロをおいれになってはいかがでしょうか？,1,1,0,0,季節
冬のラグビーのご観戦には、お膝におくるみになる物をお忘れになりませんように。,1,1,0,0,季節
お寒くございませんでしょうか。お寒うございますね。雪になりそうでございますね。,1,1,0,0,季節
お濡れになられますから、傘をお持ちになってください。,1,1,0,0,季節
雨に濡れられて、お冷えになられたのではございませんか？,1,1,0,0,季節
おこたに入られて、おみかんでもいただきましょう。,1,1,0,0,季節
お火鉢を跨がれるなんて、お行儀がよろしくないと思われますよ。,1,1,0,0,季節
ご一族がご一堂に会されるのは、久々でいらっしゃるそうですね。,1,1,0,0,季節
次のお集りの時に、ご細目をお知らせさせていただきます。,1,1,1,0,集まる
皆様、あちらでお集りになられておられます。,1,1,0,0,集まる
皆様、お揃いになられましたでしょうか。お揃いになられるまでお待ちいたしましょう。,1,1,0,0,集まる
シャンソンのお好きな方々が、お集いになられるそうですよ。,1,1,0,0,集まる
記念日には、ご創業時のメンバー様が集われるご予定でございます。,1,1,0,0,集まる
グループのご結成十周年とお伺いいたしました。早いものでございます。,1,1,0,0,集まる
また新たにチームをご結成なさるのでしょうか、それは楽しみでございます。,1,1,0,0,集まる
新人歓迎会に、どうぞご参集くださいますようお願い申し上げます。,1,1,0,0,集まる
ご集合のお時間をお忘れになられませんようにお願い申し上げます。,1,1,0,0,集まる
八重洲口の銀の鈴にご集合なさっていただきますようお願いいたします。,1,1,0,0,集まる
次のお集りからは、お料理はお持ちよりにいたしましょう。,1,1,0,0,集まる
ご必要なメンバーは、私がお集め致しましょう。,1,0,1,0,集まる
これだけのワインをお揃えになるのは、大変でございましたでしょう。,1,1,0,0,集まる
連句のお仲間を、お募りになっておられるのでしょうか？,1,1,0,0,集まる
ここはひとつ、あなた様が頭をお下げになられた方がよろしいのではないでしょうか？,1,1,0,0,謝る
先日のことは、彼女にお謝りになられたのでしょうか？,1,1,0,0,謝る
どうか、お見逃しいただけますでしょうか。ほんの出来心であるようなのです。,1,1,0,0,謝る
この件は、どうぞお目こぼしのほどを、おねがい申し上げます。,1,1,0,0,謝る
例の件、お許しをいただきたく思っているのですが？,1,1,0,0,謝る
この度のこと、どうぞお許し願いたいと思っております。,1,1,0,0,謝る
お詫びの申し上げようもございません。,1,1,0,0,謝る
失礼がございましたら、お詫び申し上げます。,1,0,1,0,謝る
例の件、どうかご寛恕賜りたく、お願い申し上げます。,1,1,0,0,謝る
どうぞ、ご寛大なご処置を、お願い申し上げます。,1,1,0,0,謝る
二度といたしませんので、どうぞお許し下さいますようお願い申し上げます。,1,1,0,0,謝る
理事長のご寛容なご処置には、尊敬いたしました。,1,1,0,0,謝る
ご無礼は承知の上で参上いたしました。ご無礼をどうぞお許し願います。,1,1,0,0,謝る
気がつきませんでして、ご無礼をおゆるしください。,1,0,1,0,謝る
何とぞ、ご容赦くださいますようお願い申し上げます。平に、ご容赦くださいませ。,1,1,0,0,謝る
この度は、誠に申し訳ございません。,1,1,0,0,謝る
この度の失態は、誠に遺憾でございます。,1,1,0,0,謝る
とんでもない失態をいたしまして、言葉もございません。,1,1,0,0,謝る
お聞き苦しいところを、お聞かせいたしまして、申し訳ございません。,1,1,0,0,謝る
私の言葉がお気に障ったようでしたら、お詫び申し上げます。,1,1,0,0,謝る
とんでもないお粗末をいたしてしまいました。,1,0,1,0,謝る
お見苦しい所をお見せいたしまして、申し訳ございません。,1,1,0,0,謝る
どうか、お見捨てがございませんよう、お願い申し上げます。,1,1,0,0,謝る
お耳障りかと存じますが、しばらくの間、ご辛抱いただけますでしょうか。,1,1,0,0,謝る
お片付け致しましょうか。お目障りではございませんか？,1,1,0,0,謝る
つまらぬ事でお騒がせいたしまして、申し訳ございません。,1,0,1,0,謝る
至りませんでしたようで、申し訳ございません。,1,1,0,0,謝る
気が利きませんでしたようで、本当に申し訳ございません。,1,1,0,0,謝る
うっかりいたしておりまして、気がつきませんで、申し訳ございません。,1,1,0,0,謝る
行き届きませんでしたようで、どうしてよいかわからず、申し訳ございません。,1,1,0,0,謝る
この度は、大変ご迷惑をおかけしてしまい、申し訳ございませんでした。,1,1,0,0,謝る
三十分も遅れてしまい、申し訳ございません。,1,1,0,0,謝る
せっかくでございますが、私は飲むことができません。申し訳ございません。,1,1,0,0,謝る
この度は、ご面倒をおかけして申し訳ございませんでした。,1,1,0,0,謝る
失礼いたしました。失礼いたします、前を通らせていただきたいと思います。,1,1,0,0,謝る
国民文化祭の「連句」にご応募願います。,1,1,0,0,応募
応募された論文が入賞したとお聞きしました。,1,1,0,0,応募
特許出願の手続きは、もう済まされましたか。,1,1,0,0,応募
画期的な発明でいらっしゃいますね、特許を出願された方がよろしいかと存じます。,1,1,0,0,応募
この度出展される絵は、何号になりますか。,1,1,0,0,応募
この度ご出品いただけたこと、心より感謝いたします。,1,1,0,0,応募
公募展に出品されたらどうでしょうか。,1,1,0,0,応募
久々のご出展、楽しみに致しております。,1,1,0,0,応募
投稿された句が、今朝の新聞に載ってらっしゃいましたね。,1,1,0,0,応募
この際、巡り合わせと思って表彰をお受けになったらいかがですか。,1,1,0,0,応募
受賞記念パーティーには出席させていただきたく存じます。,1,1,0,0,応募
執念ですね、ついに賞を受賞されるとは。,1,1,0,0,応募
念願のご入選、お祝い申し上げます。,1,1,0,0,応募
入選されたのは、今度で何回目になりますか。,1,1,0,0,応募
国体のスキーで、入賞されたことがあるとお聞きしました。,1,1,0,0,応募
お気詰まりとは存じますが、もうしばらくのご辛抱を。,1,1,0,0,遠慮
義理のチョコレートとはいえ、嬉しくなりますね。,1,1,0,0,遠慮
ここはひとつ、堪えていただけますか、この私に免じて。,1,1,0,0,遠慮
ご主人の回復を願って、好きなコーヒーをお断ちになられたのですか？,1,1,0,0,遠慮
ご指示のあるまで、ご連絡は控えさせていただきます。,1,0,1,0,遠慮
アルコールはしばらく、控えられた方がいいですよ。,1,1,0,0,遠慮
夜のお付き合いを、少しお減らしになったらいかがですか。,1,1,0,0,遠慮
数値がもう少し下がるまで、お酒は我慢されたらどうでしょう。,1,1,0,0,遠慮
義理だとしてもご兄弟なら、気兼ねなさる必要ないと思います。,1,1,0,0,遠慮
もう一、二年ご辛抱をお願いします。,1,1,0,0,遠慮
もう少し辛抱されるのは難しいでしょうか。,1,1,0,0,遠慮
どういった理由で自粛されているのでしょうか。,1,1,0,0,遠慮
ご立腹だとは存じますが、ここはご自重ください。,1,1,0,0,遠慮
お似合いの品を、私がお選びしましょうか？,1,0,1,0,選ぶ
お客様のお好きなお支払い方法をお選びいただけます。,1,1,0,0,選ぶ
いい人をお選びになったのですね。,1,1,0,0,選ぶ
あなたのお見立てでしたら間違いないはずです。,1,1,0,0,選ぶ
プレゼントですか？良さそうなものを見立てましょうか？,1,0,1,0,選ぶ
さすがにお目が高いですね、勉強になります。,1,1,0,0,選ぶ
ご吟味は、もう済まされましたか？,1,1,0,0,選ぶ
十分に吟味された方がよろしいかと思います。,1,1,0,0,選ぶ
まあ、特定のものを選ぶのは〇〇さんの自由なのですが…。,1,1,0,0,選ぶ
あなたのご選択で間違いありません。,1,1,0,0,選ぶ
最強のメンバーを選抜されたんですね、監督！,1,1,0,0,選ぶ
応募作品をご選考ください。,1,1,0,0,選ぶ
りんごは、糖度で選別のだそうで。,1,1,0,0,選ぶ
どちらも捨てがたい、迷われるのは当然のことです。,1,1,0,0,選ぶ
素敵な男性が揃った場合、目移りすることもあるでしょうね。,1,1,0,0,選ぶ
どうか、お煙草はご遠慮いただけますでしょうか。,1,1,0,0,遠慮
遠慮なんてなさらず、ご自分でお決めください。,1,1,0,0,遠慮
明日ですが、午後一時にご来社ください、とのことをお伝えします。,1,1,0,0,受付
お客様を応接間に、お通ししました。,1,0,1,0,受付
ただいま、お取り次ぎしますので、少々お待ちいただけますでしょうか。,1,0,1,0,受付
小説家の先生が、いらっしゃいました。,1,1,0,0,受付
応接間にご案内いたします。どうぞこちらの方へ…。,1,0,1,0,受付
あの方はどなたにも穏やかに対応されるのですね。,1,1,0,0,受付
貴社の成長の秘訣は、どこにあるのでしょうか。,1,1,0,0,受付
御社のご担当者様に、お伝えいただけますでしょうか？,1,1,0,0,受付
貴社におかれましては、ますますのご清栄のことと存じますます。,1,1,0,0,受付
当社に限りまして、そのような偽装はあり得ません。,1,1,0,0,受付
石の上にも三年、弊社もついに軌道に乗ったところです。,1,1,0,0,受付
弊社が社運を賭けた新製品を発表させていただきます。,1,0,1,0,受付
ただいま、係りの者が参りますので。,1,0,1,0,受付
担当の者をお呼びしました。,1,0,1,0,受付
お客様がいらっしゃいました。,1,1,0,0,受付
お客様のお名前を頂戴できますでしょうか？,1,1,0,0,受付
本日は、お約束でしょうか？,1,1,0,0,受付
ご訪問の趣旨を、お聞きしてもよろしいでしょうか？,1,0,1,0,受付
お急ぎのご用件でしょうか？,1,1,0,0,受付
ご用件をお伺いしてもよろしいでしょうか？,1,1,0,0,受付
こちらにいらっしゃったのは、どういったご用件からでしょうか？,1,1,0,0,受付
私で問題ございませんでしたら承ります。,1,1,0,0,受付
さようでございますか。いましばらくお待ちください。,1,1,0,0,受付
ご面会の受付はこちらで承ります。,1,1,0,0,受付
私に何なりとおっしゃってください。,1,1,0,0,受付
ご入用のものがございまそたら、おっしゃってください。,1,1,0,0,受付
取材旅行には、ワゴン車がご入用とお伺いしました。,1,0,1,0,受付
すべてお揃いでよろしいでしょうか？,1,1,0,0,受付
ご用事がお済みになるまで、こちらでお待ちしております。,1,0,1,0,受付
お申し付けくださり、ありがとうございます。,1,1,0,0,受付
落成式にはぜひ出席させていただきたく存じます。,1,0,1,0,祝う
お祝い返しの品を選びに行って参りました。,1,0,1,0,祝う
父の米寿のお祝い事ですので、どうぞお気兼ねなさらず。,1,1,0,0,祝う
謹んでお慶申し上げます。,1,1,0,0,祝う
それでは、ご友人の方から、お祝いのお言葉を賜りたく存じます。,1,0,1,0,祝う
先方の顔を思い浮かべながら、お祝いの品を選ぶのは喜ばしいことですね。,1,1,0,0,祝う
早速ですが、お祝いの席を設けたいと思います。,1,1,0,0,祝う
お祝い品を持って参りました。,1,0,1,0,祝う
誕生祝いに、ベビーシューズを二足だなんて心配りが利いていますね。,1,1,0,0,祝う
それでは、会長からお祝いのご挨拶を頂戴いたします。,1,1,0,0,祝う
ご祝儀は、短い方が感じがいいですよ。,1,1,0,0,祝う
ご祝儀袋は、中身相応のものでよいかと思います。,1,1,0,0,祝う
当選の祝宴は、ご盛況でしたね。,1,1,0,0,祝う
故郷では、祝賀行事が続いているのだそうですね。,1,1,0,0,祝う
この度はおめでとうございます。お二人のご多幸をお祈りいたします。,1,0,1,0,祝う
これからのサッカー人生が幸多からんことをお祈りします。,1,0,1,0,祝う
昇進で、第一子誕生に花を添えることができましたね。,1,1,0,0,祝う
謹んでお慶び申し上げます。,1,1,0,0,祝う
貴店のますますのご発展、ご繁栄をお祈り申し上げます。,1,0,1,0,祝う
それは何よりです、幸運に恵まれたのですね。,1,1,0,0,祝う
どうぞお許しください。,2,1,0,0,謝る
こちらの間違いでご迷惑をおかけし、大変申し訳ございません。,2,1,0,0,謝る
このたびは失礼をおかけして、大変申し訳ございません。,2,1,0,0,謝る
落選は、私の力不足によるものでした。,2,1,0,0,謝る
私に免じてお許しください。,2,1,0,0,謝る
私が至らなくてこんな事態になって申し訳ないです。,2,1,0,0,謝る
お部屋の家具を全部新しくされたんですね。,2,1,0,0,改める
その方針はやめられたほうがいいと思います。,2,1,0,0,改める
息子さん帰省されたのですね今朝港でお見掛けしました。,2,1,0,0,登場
先生がご挨拶にいらっしゃいました。,2,1,0,0,登場
浅草では荷風先生をよく見かけました。,2,0,0,1,登場
表通りに開店したフレンチの店、評判はどうですか,2,0,0,1,登場
先生は市民の食習慣を改善されました。,2,0,0,1,改める
病気予防のためにも、食生活を改善されたほうがいいでしょう。,2,1,0,0,改める
この製品を改良されるのは何年ぶりですか？,2,1,0,0,改める
許可証の更新は早めにお願いいたします。,2,1,0,0,改める
まだ車の免許を更新される頃ではありませんか。,2,1,0,0,改める
今後、態度を改められるようにお願いいたします,2,1,0,0,改める
総理、いつ内閣を改造されるつもりですか？,2,1,0,0,改める
いよいよ、政治の世界に転身されるんですね。,2,1,0,0,改める
なるほどやっぱり、いらっしゃった,2,0,0,0,登場
春の園遊会で、お姿を見かけました,2,1,0,0,登場
旅行されてたの？暫くお見掛けしなかったわね。,2,0,0,0,登場
師匠は人前に出るのが好きではありません。,2,1,0,0,登場
よくそんなところへ、行かれたもんですね,2,1,0,0,登場
これはこれは、珍しい人がいらした,2,0,0,0,登場
待ってください。そんなに早く歩かないでください,2,1,0,0,歩く
驚きました、二駅も歩くのですか,2,1,0,0,歩く
パジャマであちこち歩き回るのではたいへんですね,2,1,0,0,歩く
お召し物を汚さないように、気を付けて進まれてください,2,1,0,0,歩く
初めてパリの町を闊歩されて気分はどうでしたか？,2,1,0,0,歩く
老師は山寺で自由に散策を楽しんでいらっしゃいます。,2,1,0,0,歩く
コスモス畑を散策するのも悪くありませんよ。,2,1,0,0,歩く
お客様、お散歩には海辺がいいと思います。,2,1,0,0,歩く
犬と一緒に散歩されるのが院長先生の日課です。,2,1,0,0,歩く
毎週同一路線を往復する人には、割引があるという話です,2,1,0,0,歩く
英会話教室に、通っておられるそうですね,2,1,0,0,歩く
あの店によく行かれているのは、何か目的がおありなんでしょ,2,1,0,0,歩く
今日はどちらに回られるんですか？,2,1,0,0,歩く
火の用心で町内を巡回するんですか？,2,1,0,0,歩く
もう問題ありませんので、安心してください,2,1,0,0,安心
就職が決まって、ご両親も安堵されたでしょう,2,1,0,0,安心
もう大丈夫、峠は越えたので安心されてください,2,1,0,0,安心
娘さんが結婚されて、安心されたんじゃないでしょうか,2,1,0,0,安心
お仕事がひと段落して、ようやく落ち着かれますね,2,1,0,0,安心
息子さんが帰国されて、心強いことですね,2,1,0,0,安心
ご主人が戻られて安心されましたね,2,1,0,0,安心
どうぞ心を安らかにされてください,2,1,0,0,安心
ご隠居は、安らかな顔で寝ていらっしゃいます,2,1,0,0,安心
ご子息の勤務先が決まって、肩の荷が下りましたね,2,1,0,0,安心
ケガも軽くて、ほっとされたことでしょう,2,1,0,0,安心
大事に至らなくて、校長も安心されています,2,1,0,0,安心
坊ちゃんが店を継がれるとは良かったですね。これで安泰です。,2,1,0,0,安心
こんな時代でも、御社はゆるぎなくてけっこうですね。,2,1,0,0,安心
肝機能の数値もいいから、このまま安定だといいですね,2,1,0,0,安心
ご不満があるようでしたら、はっきりと一言おっしゃってください,2,1,0,0,言う
僧正は、今の場所でがんばることが一所懸命だと申されました,2,1,0,0,言う
そんなことを急に言いだれても困りますわ、どうされましたか？,2,1,0,0,言う
お客様が腹を立てられるのは、ごもっともです。,2,1,0,0,言う
温厚なあの方が激怒するとは、よほどのことですね。,2,1,0,0,言う
あたなのお話も理解出来ます。,2,0,0,1,言う
威張った言い方、もう1回言ってみなさい!,2,1,0,0,言う
私には、身の丈に合わないお言葉です。,2,1,0,0,言う
皇后様は、避難している全員に安心出来る言葉を下さいました。,2,1,0,0,言う
ご自分の意見を真っすぐにおっしゃいましたね。,2,1,0,0,言う
ここは、ご自分の意見をはっきりおっしゃるべきですよ。,2,1,0,0,言う
あなたのご考えは今年も見事でしたね。,2,1,0,0,言う
本当に申しづらいのですが、今年の選挙は不合格です。,2,1,0,0,言う
このたび、気持ちを込めて申し上げます。,2,1,0,0,言う
大変申しづらいのですが、ご勘定お忘れではございませんか?,2,1,0,0,言う
残業代のことを申したのは、店長です。,2,1,0,0,言う
お役所仕事には、言いたいことが沢山あります。,2,1,0,0,言う
立派な家が建ちましたね。,2,1,0,0,家
いいお住まいですね、お庭も大きいし。,2,0,0,1,家
雨が降りましたね、ご自宅に車でお送りましょうか。,2,0,0,1,家
ご自宅はこの近所ですか?,2,1,0,0,家
これは、ご邸宅とも呼ぶほど立派な建築ですね。,2,1,0,0,家
まるで主役になるお住まいですね。,2,1,0,0,家
お近くに出る場合は、私の自宅までお尋ねください。,2,1,0,0,家
たまにはこちらにもお立ち寄り下さい。手紙文,2,1,0,0,家
お宅には三世代の方々がいますか?,2,1,0,0,家
急のご転勤で、他の家にお住みになるのでしょうか?,2,1,0,0,家
夫の母と同居ですか…,2,0,0,1,家
部長は、息子のご家族と一緒に住んでいるようですね。,2,0,0,1,家
今のお部屋が寛ぎにくいのですね。,2,0,0,1,家
これだけ大きいと、お庭の掃除も大変でしょうね。,2,0,0,0,家
こんなにしっかりした門は、近頃珍しいですね。,2,0,0,1,家
寒いときの料理屋掃除は大変ですね。,2,0,0,1,家
三河屋さん、裏口に来てちょうだい。,2,0,0,0,家
お釜で炊いたご飯はとても美味しいですね。,2,0,0,0,家
子供のとき、かまどの前で、よく漫画を読みました。,2,0,0,0,家
彼の実家の倉庫には、お金になるものがあるらしいですよ。,2,0,0,0,家
お玄関に誰かいらっしゃいますよ。,2,0,0,0,家
お客様を和室にお呼び下さい。,2,0,0,0,家
風が気持ちいいので、お障子は開けておきましょうね。,2,0,0,0,家
お台所は使用した後元に戻してきれいにしておかないといけませんよ。,2,0,0,0,家
お孫さんは、皆から人気者ですね。,2,0,0,0,家
お網戸のある部屋に住みたいわ。,2,0,0,0,家
子供の頃、仏壇の部屋が怖いと思っていました。,2,0,0,0,家
広々として安心出来るご仏間ですね。,2,0,0,0,家
花火をご覧になるのでしたら、二階はどうでしょうか。,2,0,0,0,家
お廊下はゆっくり歩きましょう。,2,0,0,0,家
女性の建築家がお宅の家をお建てになったのですか?,2,0,0,0,家
プロに建ててもらった木造建築を、皆さんにお見せしたいわ。,2,0,0,0,家
本店はリニューアルだそうですね、この不況でもすごいです。,2,0,0,0,家
ご自宅をリフォームなさったそうですね。,2,0,0,0,家
お店をリニューアルするそうですね、踏み切りましたね。,2,0,0,0,家
築百年の主屋を取り壊すのですか、残念ですね。,2,0,0,0,家
お風呂のご修繕を引き受けました。,2,0,0,0,家
地震で斜めになった家を直すのは大変ですね。,2,0,0,0,家
都心にご新居をお建てになるのは驚きです。,2,0,0,0,家
ご新築の祝いのお酒を運んできました。,2,0,0,0,家
いい建築物を建ててますね、総檜でしょう。,2,0,0,0,家
もうすぐ屋根を建て直す必要がありますね。,2,0,0,0,家
今日はご新居の様子を見にいらっしゃったのですか?,2,0,0,0,家
下見する際は、雨の日がいいと思います。,2,0,0,0,家
